frame,ms
0,0.238900
1,0.228600
2,0.241100
3,0.227000
4,0.227400
5,0.230400
6,0.230000
7,0.253000
8,0.262300
9,0.231600
10,0.229800
11,0.229400
12,0.232900
13,0.229800
14,0.236700
15,0.238000
16,0.255900
17,0.230000
18,0.231400
19,0.270500
20,0.248800
21,0.227000
22,0.227700
23,0.229500
24,0.226800
25,0.230600
26,0.232400
27,0.242900
28,0.230300
29,0.230100
30,0.233100
31,0.230000
32,0.257400
33,0.258200
34,0.289000
35,0.264600
36,0.268100
37,0.263900
38,0.257800
39,0.251500
40,0.327800
41,0.249100
42,0.242800
43,0.265000
44,0.260500
45,0.244600
46,0.239100
47,0.241400
48,0.239200
49,0.231900
50,0.228400
51,0.231600
52,0.230000
53,0.250700
54,0.230200
55,0.249000
56,0.233700
57,0.227900
58,0.229300
59,0.226900
60,0.227100
61,0.256800
62,0.235500
63,0.231300
64,0.229500
65,0.226900
66,0.235900
67,0.227000
68,0.228900
69,0.228400
70,0.226700
71,0.245300
72,0.226300
73,0.229100
74,0.227400
75,0.227600
76,0.235400
77,0.232600
78,0.231800
79,0.232400
80,0.232900
81,0.235500
82,0.236200
83,0.261000
84,0.234000
85,0.231900
86,0.283000
87,0.232000
88,0.227700
89,0.230300
90,0.238600
91,0.231300
92,0.228800
93,0.227900
94,0.229700
95,0.229300
96,0.240100
97,0.240700
98,0.240600
99,0.233900
100,0.232500
101,0.249000
102,0.236100
103,0.232500
104,0.230900
105,0.230000
106,0.227500
107,0.228000
108,0.228900
109,0.227300
110,0.230100
111,0.226200
112,0.299000
113,0.228200
114,0.226300
115,0.227900
116,0.226100
117,0.233600
118,0.225900
119,0.228200
120,0.230800
121,0.283300
122,0.230000
123,0.226500
124,0.225600
125,0.225800
126,0.237000
127,0.226600
128,0.316800
129,0.233700
130,0.250100
131,0.226700
132,0.226200
133,0.239700
134,0.226700
135,0.227000
136,0.227800
137,0.242000
138,0.229700
139,0.231100
140,0.228300
141,0.225800
142,0.227000
143,0.224800
144,0.224600
145,0.227100
146,0.225300
147,0.277700
148,0.233200
149,0.226300
150,0.229700
151,0.231700
152,0.232200
153,0.231900
154,0.241400
155,0.286500
156,0.227700
157,0.246900
158,0.229200
159,0.227200
160,0.233100
161,0.229100
162,0.230300
163,0.227100
164,0.228300
165,0.225000
166,0.226300
167,0.228800
168,0.227100
169,0.226300
170,0.228100
171,0.226300
172,0.225700
173,0.227900
174,0.225200
175,0.225600
176,0.226900
177,0.226200
178,0.229200
179,0.242500
180,0.226400
181,0.225100
182,0.227100
183,0.225100
184,0.228200
185,0.226900
186,0.226100
187,0.230100
188,0.227600
189,0.225800
190,0.238700
191,0.224700
192,0.301100
193,0.226000
194,0.245000
195,0.350200
196,0.406300
197,0.386200
198,0.394800
199,0.389800
200,0.378000
201,0.294200
202,0.253300
203,0.225100
204,0.228400
205,0.225300
206,0.225400
207,0.227100
208,0.225000
209,0.230000
210,0.227100
211,0.224700
212,0.225200
213,0.227500
214,0.231600
215,0.272000
216,0.399300
217,0.231600
218,0.312500
219,0.396900
220,0.273900
221,0.228400
222,0.229900
223,0.227100
224,0.227200
225,0.230200
226,0.277900
227,0.232100
228,0.226400
229,0.227400
230,0.242500
231,0.225300
232,0.229600
233,0.225700
234,0.226500
235,0.227200
236,0.225800
237,0.226000
238,0.230000
239,0.230500
240,0.226000
241,0.227600
242,0.235400
243,0.226400
244,0.227500
245,0.229600
246,0.226000
247,0.227900
248,0.241800
249,0.225800
250,0.226900
251,0.227000
252,0.225800
253,0.252800
254,0.227200
255,0.414700
256,0.365700
257,0.468100
258,0.366300
259,0.307500
260,0.290900
261,0.229700
262,0.227300
263,0.226200
264,0.226200
265,0.224900
266,0.239600
267,0.225300
268,0.229700
269,0.228000
270,0.225900
271,0.401200
272,0.233300
273,0.225700
274,0.226300
275,0.229100
276,0.230800
277,0.226600
278,0.227900
279,0.228400
280,0.227000
281,0.347300
282,0.319600
283,0.229900
284,0.278900
285,0.226700
286,0.225500
287,0.227200
288,0.225500
289,0.225900
290,0.227700
291,0.225500
292,0.225200
293,0.228200
294,0.225700
295,0.226900
296,0.227700
297,0.308200
298,0.228300
299,0.256200
300,0.226300
301,0.225300
302,0.225500
303,0.228100
304,0.237100
305,0.235300
306,0.248500
307,0.242100
308,0.253600
309,0.266000
310,0.258800
311,0.254300
312,0.254400
313,0.254100
314,0.246600
315,0.246900
316,0.284600
317,0.249500
318,0.326600
319,0.247600
320,0.236300
321,0.236000
322,0.239000
323,0.237600
324,0.235800
325,0.229400
326,0.235500
327,0.234900
328,0.232100
329,0.229700
330,0.231400
331,0.229100
332,0.227900
333,0.229300
334,0.227000
335,0.226300
336,0.228800
337,0.226200
338,0.231300
339,0.226300
340,0.227800
341,0.225300
342,0.226500
343,0.227300
344,0.226100
345,0.226200
346,0.227900
347,0.225100
348,0.225500
349,0.227300
350,0.284800
351,0.322400
352,0.231600
353,0.225200
354,0.232600
355,0.231700
356,0.225100
357,0.226000
358,0.227400
359,0.225400
360,0.225100
361,0.227300
362,0.225100
363,0.225600
364,0.250700
365,0.225400
366,0.228400
367,0.228500
368,0.225700
369,0.230300
370,0.228100
371,0.226900
372,0.226800
373,0.228400
374,0.231200
375,0.227600
376,0.228500
377,0.226700
378,0.227500
379,0.249200
380,0.337500
381,0.231700
382,0.249000
383,0.228100
384,0.244600
385,0.228900
386,0.296100
387,0.226100
388,0.224600
389,0.261900
390,0.236000
391,0.240400
392,0.230700
393,0.225500
394,0.225500
395,0.227700
396,0.225500
397,0.226000
398,0.249800
399,0.225100
400,0.230000
401,0.227100
402,0.225800
403,0.225900
404,0.228800
405,0.239700
406,0.228600
407,0.229000
408,0.225300
409,0.229700
410,0.271600
411,0.226500
412,0.294500
413,0.234500
414,0.225300
415,0.227000
416,0.226700
417,0.228000
418,0.228100
419,0.227000
420,0.232300
421,0.230200
422,0.244200
423,0.229600
424,0.226500
425,0.228800
426,0.240700
427,0.226000
428,0.225700
429,0.227400
430,0.224800
431,0.229400
432,0.227400
433,0.225500
434,0.224900
435,0.227500
436,0.226500
437,0.233600
438,0.226800
439,0.225600
440,0.274600
441,0.235500
442,0.230900
443,0.225800
444,0.228700
445,0.226700
446,0.226500
447,0.288000
448,0.267200
449,0.417400
450,0.234700
451,0.227900
452,0.279800
453,0.229300
454,0.228700
455,0.228000
456,0.226100
457,0.228300
458,0.225500
459,0.228400
460,0.230600
461,0.226800
462,0.231600
463,0.229100
464,0.228900
465,0.246500
466,0.263700
467,0.228600
468,0.229600
469,0.232400
470,0.231600
471,0.235300
472,0.262400
473,0.229800
474,0.249200
475,0.351500
476,0.230300
477,0.244300
478,0.228800
479,0.228400
480,0.228400
481,7.168700
482,0.600700
483,0.528200
484,0.685400
485,0.563900
486,0.562100
487,0.583800
488,0.561800
489,0.522200
490,0.528200
491,0.519800
492,0.859000
493,0.619300
494,0.572000
495,2.279200
496,0.552900
497,0.416000
498,0.376700
499,0.311300
500,0.580900
501,0.627600
502,0.535800
503,0.525100
504,0.601900
505,0.660900
506,0.584200
507,0.402300
508,0.231400
509,0.233400
510,0.481000
511,0.627100
512,0.573200
513,0.522000
514,0.540000
515,0.542300
516,0.559200
517,0.557700
518,0.540100
519,0.556200
520,0.559800
521,0.545800
522,0.610400
523,0.533600
524,0.541500
525,0.619600
526,0.715500
527,0.558100
528,0.589700
529,0.622300
530,0.705600
531,0.629100
532,0.528900
533,0.651600
534,0.554400
535,0.630700
536,0.541400
537,0.727000
538,0.640300
539,0.526400
540,0.612800
541,0.829700
542,0.511100
543,1.326900
544,0.591100
545,0.896500
546,0.599100
547,0.571200
548,0.677100
549,0.599100
550,0.619000
551,0.238600
552,0.293600
553,0.378800
554,0.267300
555,0.234800
556,0.226100
557,0.244900
558,0.347700
559,0.472200
560,0.231300
561,0.329400
562,0.246400
563,0.441600
564,0.241200
565,0.431500
566,0.942400
567,0.310800
568,0.505200
569,0.531200
570,0.526200
571,0.553600
572,0.531500
573,0.415900
574,0.391200
575,0.232900
576,0.229400
577,0.229100
578,0.227200
579,0.228600
580,0.233400
581,0.241300
582,0.246700
583,0.442300
584,0.592100
585,0.537700
586,0.539900
587,0.532000
588,0.532200
589,0.554200
590,0.526800
591,0.524000
592,0.531400
593,0.652700
594,0.543700
595,0.537100
596,0.532700
597,0.533500
598,0.785200
599,0.623100
600,0.641300
601,0.429900
602,0.458500
603,0.449800
604,0.446300
605,0.438800
606,0.474200
607,0.435900
608,0.481500
609,0.399100
610,0.458700
611,0.423800
612,0.398600
613,0.429400
614,0.461900
615,0.461600
616,0.477800
617,0.409700
618,0.437600
619,0.491900
620,0.432200
621,0.258100
622,0.254000
623,0.241600
624,0.225600
625,0.225100
626,0.227400
627,0.225400
628,0.246500
629,0.227800
630,0.293600
631,0.227200
632,0.227900
633,0.226000
634,0.225600
635,0.227600
636,0.225100
637,0.247700
638,0.227200
639,0.225300
640,0.226000
641,0.225600
642,0.227600
643,0.225200
644,0.226400
645,0.267200
646,0.279400
647,0.520100
648,0.337200
649,0.233900
650,0.230800
651,0.350500
652,0.242200
653,0.279700
654,0.288900
655,0.238100
656,0.229600
657,0.338900
658,0.229900
659,0.240700
660,0.227500
661,0.225900
662,0.226100
663,0.227600
664,0.226300
665,0.230800
666,0.254800
667,0.242400
668,0.226700
669,0.238900
670,0.249800
671,0.246200
672,0.339000
673,0.425100
674,0.401800
675,0.307200
676,0.235900
677,0.238600
678,0.331200
679,0.245100
680,0.258800
681,0.239400
682,0.237800
683,0.235000
684,0.234700
685,0.234800
686,0.227700
687,0.227200
688,0.230100
689,0.251800
690,0.228500
691,0.231600
692,0.228200
693,0.227700
694,0.252100
695,0.226500
696,0.226800
