frame,ms
0,0.249200
1,0.316600
2,0.244700
3,0.265100
4,0.252500
5,0.241700
6,0.239400
7,0.237400
8,0.235600
9,0.229500
10,0.249300
11,0.226400
12,0.227800
13,0.228600
14,0.226300
15,0.230000
16,0.233100
17,0.225500
18,0.226000
19,0.225500
20,0.242900
21,0.264400
22,0.231400
23,0.228700
24,0.231100
25,0.238800
26,0.228000
27,0.228600
28,0.226800
29,0.228000
30,0.234500
31,0.233500
32,0.233600
33,0.232600
34,0.231900
35,0.232000
36,0.246600
37,0.233700
38,0.231300
39,0.230000
40,0.229000
41,0.231000
42,0.229000
43,0.266200
44,0.229600
45,0.230700
46,0.226400
47,0.226000
48,0.227900
49,0.225700
50,0.225900
51,0.227400
52,0.229900
53,0.227100
54,0.225800
55,0.225800
56,0.231900
57,0.225700
58,0.225700
59,0.227500
60,0.225200
61,0.225400
62,0.225500
63,0.227200
64,0.227300
65,0.227400
66,0.228300
67,0.225900
68,0.225800
69,0.225700
70,0.299200
71,0.226000
72,0.242100
73,0.227500
74,0.226400
75,0.225900
76,0.229900
77,0.227800
78,0.225900
79,0.249400
80,0.230000
81,0.225800
82,0.241100
83,0.225800
84,0.319600
85,0.260900
86,0.246000
87,0.235000
88,0.228500
89,0.228200
90,0.225600
91,0.254400
92,0.228400
93,0.293900
94,0.226900
95,0.230000
96,0.251100
97,0.225800
98,0.227600
99,0.227800
100,0.226000
101,0.287100
102,0.252800
103,0.227400
104,0.240900
105,0.231400
106,0.233400
107,0.231400
108,0.234800
109,0.306500
110,0.229500
111,0.231000
112,0.267200
113,0.231700
114,0.227400
115,0.368400
116,0.230600
117,0.228500
118,0.226100
119,0.225600
120,0.249500
121,0.225600
122,0.225700
123,0.229900
124,0.249100
125,0.225400
126,0.225400
127,0.229400
128,0.225600
129,0.249400
130,0.229300
131,0.227000
132,0.265300
133,0.259100
134,0.232500
135,0.224800
136,0.226700
137,0.226800
138,0.224400
139,0.247900
140,0.226800
141,0.226000
142,0.224600
143,0.228600
144,0.224700
145,0.225000
146,0.345400
147,0.243700
148,0.280400
149,0.442200
150,0.231600
151,0.226500
152,0.227500
153,0.225700
154,0.225200
155,0.226700
156,0.224700
157,0.224400
158,0.226800
159,0.225100
160,0.250000
161,0.228100
162,0.224800
163,0.224000
164,0.226500
165,0.226500
166,0.224100
167,0.226500
168,0.273200
169,0.228000
170,0.225200
171,0.246600
172,0.227100
173,0.228100
174,0.231100
175,0.227700
176,0.227900
177,0.231100
178,0.232200
179,0.230100
180,0.230600
181,0.228600
182,0.228100
183,0.260700
184,0.227800
185,0.293900
186,0.229600
187,0.229300
188,0.224400
189,0.226300
190,0.224300
191,0.225200
192,0.227800
193,0.224600
194,0.225700
195,0.226600
196,0.226100
197,0.224600
198,0.226300
199,0.224400
200,0.236600
201,0.226400
202,0.224200
203,0.224400
204,0.235400
205,0.223800
206,0.224100
207,0.237400
208,0.229100
209,0.228700
210,0.224300
211,0.226200
212,0.224500
213,0.224400
214,0.232200
215,0.226000
216,0.224500
217,0.227700
218,0.224600
219,0.224600
220,0.226400
221,0.224300
222,0.243900
223,0.227900
224,0.225700
225,0.226100
226,0.226600
227,0.224600
228,0.224300
229,0.227400
230,0.240000
231,0.225300
232,0.242900
233,0.226100
234,0.224600
235,0.226700
236,0.224200
237,0.224300
238,0.276600
239,0.230100
240,0.224500
241,0.227100
242,0.224500
