frame,ms
0,0.232000
1,0.225700
2,0.228400
3,0.225800
4,0.226000
5,0.227400
6,0.244000
7,0.225100
8,0.226600
9,0.230100
10,0.227700
11,0.229100
12,0.230400
13,0.298900
14,0.227500
15,0.245300
16,0.233100
17,0.229300
18,0.232100
19,0.228600
20,0.239500
21,0.225700
22,0.228000
23,0.241100
24,0.225500
25,0.225500
26,0.225400
27,0.227500
28,0.225300
29,0.225600
30,0.238000
31,0.225400
32,0.239900
33,0.229800
34,0.232300
35,0.228600
36,0.232100
37,0.227500
38,0.226100
39,0.225400
40,0.225500
41,0.227700
42,0.225700
43,0.225600
44,0.225600
45,0.238500
46,0.225200
47,0.225600
48,0.227600
49,0.225800
50,0.225500
51,0.225800
52,0.227600
53,0.225200
54,0.225200
55,0.227600
56,0.229700
57,0.225800
58,0.225700
59,0.227500
60,0.226700
61,0.227900
62,0.279300
63,0.226900
64,0.227900
65,0.225900
66,0.228700
67,0.227700
68,0.227000
69,0.229400
70,0.228000
71,0.226900
72,0.226000
73,0.227400
74,0.225500
75,0.225500
76,0.229700
77,0.228500
78,0.225300
79,0.225200
80,0.227600
81,0.325400
82,0.339300
83,0.233000
84,0.241700
85,0.230000
86,0.227100
87,0.233700
88,0.229800
89,0.229800
90,0.229300
91,0.231300
92,0.248700
93,0.229000
94,0.236900
95,0.235600
96,0.232500
97,0.226900
98,0.228800
99,0.245500
100,0.225400
101,0.280500
102,0.383100
103,0.234400
104,0.227000
105,0.228600
106,0.246600
107,0.229000
108,0.225600
109,0.227300
110,0.225600
111,0.226300
112,0.227700
113,0.267200
114,0.225800
115,0.226100
116,0.227300
117,0.225500
118,0.226500
119,0.227400
120,0.229700
121,0.225200
122,0.225600
123,0.228000
124,0.225600
125,0.226500
126,0.227500
127,0.225600
128,0.225600
129,0.227300
130,0.255400
131,0.226700
132,0.277500
133,0.234500
134,0.225500
135,0.224500
136,0.226100
137,0.224200
138,0.224200
139,0.226200
140,0.224200
141,0.224500
142,0.224400
143,0.238000
144,0.224500
145,0.224200
146,0.251400
147,0.228400
148,0.224300
149,0.225900
150,0.295200
151,0.227400
152,0.229700
153,0.226400
154,0.227500
155,0.231200
156,0.234200
157,0.239700
158,0.241000
159,0.232700
160,0.252700
161,0.231500
162,0.227100
163,0.229700
164,0.234100
165,0.239700
166,0.228300
167,0.231300
168,0.224800
169,0.224600
170,0.283400
171,0.237600
172,0.231000
173,0.248800
174,0.259800
175,0.263100
176,0.266000
177,0.254100
178,0.267700
179,0.252600
180,0.247800
181,0.249200
182,0.409000
183,0.256400
184,0.249500
185,0.262800
186,0.245400
187,0.245000
188,0.237000
189,0.256900
190,0.239700
191,0.238200
192,0.242200
193,0.235800
194,0.251700
195,0.236300
196,0.237700
197,0.235500
198,0.347700
199,0.317100
200,0.240200
201,0.233500
202,0.278600
203,0.292300
204,0.258100
205,0.383800
206,0.400700
207,0.252400
208,0.225900
209,0.280900
210,0.228500
211,0.225400
212,0.225100
213,0.227000
214,0.357300
215,0.229500
216,0.227700
217,0.225900
218,0.225200
219,0.227300
220,0.230900
221,0.231700
222,0.229800
223,0.251300
224,0.236800
225,0.233200
226,0.515800
227,0.602000
228,0.409300
229,0.394800
230,0.229900
231,0.226300
232,0.226600
233,0.225600
234,0.243500
235,0.228900
236,0.225000
237,0.224700
238,0.227000
239,0.229600
240,0.226200
241,0.228600
242,0.228000
243,0.226500
244,0.228000
245,0.230100
246,0.230700
247,0.227400
248,0.227500
249,0.225100
250,0.226800
251,0.239500
252,0.226200
253,0.226700
254,0.224900
255,0.225300
256,0.238200
257,0.240500
258,0.225000
259,0.224200
260,0.226400
261,0.224300
262,0.225000
263,0.230400
264,0.224600
265,0.225300
266,0.227200
267,0.225300
268,0.252600
269,0.226200
270,0.224400
271,0.224600
272,0.226700
273,0.224400
274,0.260700
275,0.228800
276,0.228900
277,0.224600
278,0.229600
279,0.225700
280,0.224600
281,0.226500
282,0.224500
283,0.224000
284,0.227000
285,0.228100
286,0.227200
287,0.230500
288,0.274400
289,0.232300
290,0.229800
291,0.227500
292,0.227300
293,0.225300
294,0.230200
295,0.224800
296,0.293900
297,0.232400
298,0.225100
299,0.224800
300,0.226400
301,0.224500
302,0.224000
303,0.226000
304,0.231900
305,0.224300
306,0.226300
307,0.229300
308,0.225200
309,0.226400
310,0.224100
311,0.224500
312,0.227400
313,0.224600
314,0.224500
315,0.225900
316,0.226800
317,0.224600
318,0.226300
319,0.224400
320,0.226600
321,0.225900
322,0.224000
323,0.236700
324,0.226500
325,0.224700
326,0.228500
327,0.226800
328,0.245900
329,0.223800
330,0.224200
331,0.226000
332,0.224100
333,0.240400
334,0.226500
335,0.224700
336,0.224300
337,0.226600
338,0.239500
339,0.224400
340,0.225800
341,0.224300
342,0.224500
343,0.226200
344,0.274900
345,0.226300
346,0.227600
347,0.224500
348,0.224900
349,0.243100
350,0.224200
351,0.224200
352,0.227100
353,0.224100
354,0.226200
355,0.232400
356,0.226400
357,0.231900
358,0.229700
359,0.229300
360,0.228900
361,0.233700
362,0.230100
363,0.230400
364,0.267000
365,0.228500
366,0.343100
367,0.402100
368,0.230200
369,0.229300
370,0.224200
371,0.227200
372,0.225000
373,0.225600
374,0.227300
375,0.224400
376,0.224700
377,0.226500
378,0.238300
379,0.224200
380,0.228000
381,0.225400
382,0.225400
383,0.227300
384,0.228900
385,0.225900
386,0.227000
387,0.225300
388,0.226100
389,0.226600
390,0.224400
391,0.226100
392,0.241500
393,0.225400
394,0.225900
395,0.229600
396,0.229500
397,0.233300
398,0.231900
399,0.227600
400,0.233600
401,0.232200
402,0.231100
403,0.231300
404,0.234200
405,0.229800
406,0.231700
407,0.227500
408,0.228300
409,0.225300
410,0.226900
411,0.229200
412,0.227800
413,0.246000
414,0.229000
415,0.269500
416,0.227100
417,0.227700
418,0.225600
419,0.225800
420,0.243400
421,0.226100
422,0.224700
423,0.226000
424,0.223700
425,0.224800
426,0.228100
427,0.226200
428,0.230100
429,0.236100
430,0.317200
431,0.454000
432,0.234500
433,0.226700
434,0.232800
435,0.296600
436,0.225900
437,0.224400
438,0.249000
439,0.224100
440,0.224200
441,0.226100
442,0.228200
443,0.224000
444,0.224600
445,0.226600
446,0.247600
447,0.225200
448,0.231600
449,0.233800
450,0.246700
451,0.268600
452,0.255500
453,0.259500
454,0.249200
455,0.253200
456,0.241100
457,0.266500
458,0.246700
459,0.272200
460,0.250300
461,0.245900
462,0.241200
463,0.239200
464,0.242200
465,0.231300
466,0.230400
467,0.225200
468,0.224700
469,0.227000
470,0.224700
471,0.252100
472,0.231500
473,0.225400
474,0.224700
475,0.227000
476,0.224500
477,0.224000
478,0.226200
479,0.224900
480,0.224200
481,0.224500
482,0.263300
483,0.226000
484,0.225000
485,0.226400
486,0.224200
487,0.229400
488,0.225800
489,0.261600
490,0.226000
491,0.228400
492,0.235900
493,0.228500
494,0.226700
495,0.224600
496,0.224600
497,0.345100
498,0.323400
499,0.233000
500,0.276100
501,0.238600
502,0.226800
503,0.250900
504,0.225800
505,0.226100
506,0.228500
507,0.225800
508,0.224500
509,0.226300
510,0.225200
511,0.236200
512,0.226100
513,0.224900
514,0.223900
515,0.226200
516,0.223900
517,0.224400
518,0.224000
519,0.226700
520,0.276100
521,0.227100
522,0.227500
523,0.224600
524,0.229000
525,0.293900
526,0.225100
527,0.224900
528,0.226500
529,0.229000
530,0.224600
531,0.226000
532,0.224300
533,0.224400
534,0.228600
535,0.224000
536,0.224200
537,0.233100
538,0.224200
539,0.224100
540,0.226100
541,0.224400
542,0.223900
543,0.226300
544,0.224300
545,0.225300
546,0.226300
547,0.224500
548,0.224700
549,0.227400
550,0.224300
551,0.240800
552,0.226500
553,0.224400
554,0.224700
555,0.228900
556,0.226600
557,0.224900
558,0.228700
559,0.226500
560,0.224400
561,0.248200
562,0.226400
563,0.252600
564,0.228900
565,0.227000
566,0.225000
567,0.224700
568,0.226300
569,0.226200
570,0.226100
571,0.229000
572,0.228300
573,0.227400
574,0.233500
575,0.226400
576,0.227100
577,0.226700
578,0.225300
579,0.225400
580,0.228500
581,0.227200
582,0.226800
583,0.228700
584,0.227600
585,0.227900
586,0.233900
587,0.230000
588,0.224700
589,0.226000
590,0.275500
591,0.226700
592,0.227600
593,0.238500
594,0.224600
595,0.292800
596,0.227900
597,0.224200
598,0.224100
599,0.226400
600,0.224400
601,0.224600
602,0.226100
603,0.224000
604,0.225100
605,0.226100
606,0.224200
607,0.234900
608,0.226700
609,0.224100
610,0.224200
611,0.225900
612,0.224000
613,0.224400
614,0.226100
615,0.226000
616,0.235100
617,0.276200
618,0.226600
619,0.226700
620,0.226400
621,0.224500
622,0.224400
623,0.226100
624,0.224200
625,0.224200
626,0.226600
627,0.224100
628,0.241700
629,0.226000
630,0.224300
631,0.224500
632,0.224200
633,0.233500
634,0.224100
635,0.224200
636,0.226200
637,0.224300
638,0.224300
639,0.226900
640,0.224700
641,0.235000
642,0.227900
643,0.226300
644,0.226900
645,0.237200
646,0.225200
647,0.224300
648,0.226300
649,0.224700
650,0.224400
651,0.226600
652,0.224200
653,0.224300
654,0.226600
655,0.224300
656,0.224000
657,0.254700
658,0.225200
659,0.224500
660,0.269100
661,0.239900
662,0.227400
663,0.248200
664,0.224600
665,0.294400
666,0.227700
667,0.224200
668,0.224800
669,0.224700
670,0.226400
671,0.224400
672,0.224300
673,0.227200
674,0.234000
675,0.224200
676,0.226500
677,0.246900
678,0.224600
679,0.226300
680,0.224300
681,0.224100
682,0.226300
683,0.224400
684,0.224400
685,0.226400
686,0.224600
687,0.224400
688,0.226500
689,0.224400
690,0.224400
691,0.256700
692,0.224300
693,0.224400
694,0.226200
695,0.224300
696,0.224700
697,0.226300
698,0.225300
699,0.224700
700,0.226200
701,0.224500
702,0.225100
703,0.258800
704,0.226300
705,0.223900
706,0.224400
707,0.226400
708,0.224500
709,0.224500
710,0.226500
711,0.241200
712,0.224300
713,0.226200
714,0.224700
715,0.226000
716,0.226600
717,0.224100
718,0.241200
719,0.226200
720,0.224100
721,0.224200
722,0.225900
723,0.224100
724,0.224000
725,0.226200
726,0.224000
727,0.224200
728,0.226400
729,0.224200
730,0.224200
731,0.431300
732,0.237400
733,0.225900
734,0.229000
735,0.231900
736,0.246100
737,0.329300
738,0.261400
739,0.259500
740,0.263500
741,0.269600
742,0.255700
743,0.269300
744,0.247200
745,0.256600
