frame,ms
0,0.082100
1,0.048100
2,0.046500
3,0.047400
4,0.046400
5,0.053500
6,0.080200
7,0.069200
8,0.065500
9,0.064400
10,0.064800
11,0.063700
12,0.062100
13,0.068600
14,0.068300
15,0.069000
16,0.065200
17,0.060800
18,0.044100
19,0.041300
20,0.041200
21,0.042300
22,0.043600
23,0.042900
24,0.044000
25,0.046000
26,0.046600
27,0.045000
28,0.045900
29,0.050900
30,0.047600
31,0.045100
32,0.045200
33,0.048800
34,0.046100
35,0.043900
36,0.043500
37,0.041800
38,0.043600
39,0.043600
40,0.043000
41,0.043200
42,0.042300
43,0.042300
44,0.042500
45,0.045600
46,0.043100
47,0.042900
48,0.044300
49,0.044800
50,0.042400
51,0.042400
52,0.042900
53,0.042300
54,0.041800
55,0.040900
56,0.041300
57,0.041100
58,0.041200
59,0.041500
60,0.041000
61,0.043500
62,0.041100
63,0.041600
64,0.041700
65,0.041500
66,0.041100
67,0.042600
68,0.042800
69,0.041800
70,0.041300
71,0.041300
72,0.041000
73,0.040800
74,0.040600
75,0.061800
76,0.041700
77,0.043500
78,0.040900
79,0.041900
80,0.040800
81,0.040800
82,0.040700
83,0.041000
84,0.040700
85,0.040900
86,0.040600
87,0.040800
88,0.040700
89,0.040900
90,0.042200
91,0.042200
92,0.041300
93,0.044300
94,0.041900
95,0.041700
96,0.041600
97,0.041600
98,0.041300
99,0.041200
100,0.041000
101,0.040900
102,0.041500
103,0.041300
104,0.055400
105,0.043200
106,0.042500
107,0.042100
108,0.043300
109,0.045300
110,0.042700
111,0.041800
112,0.040900
113,0.040500
114,0.040700
115,0.040700
116,0.040600
117,0.040700
118,0.052000
119,0.040600
120,0.040500
121,0.041100
122,0.040800
123,0.040900
124,0.040600
125,0.042900
126,0.040400
127,0.040800
128,0.040400
129,0.040500
130,0.040600
131,0.040500
132,0.040400
133,0.040500
134,0.040600
135,0.040800
136,0.040400
137,0.040200
138,0.050500
139,0.041000
140,0.040400
141,0.042900
142,0.040600
143,0.040800
144,0.040900
145,0.041300
146,0.041000
147,0.040800
148,0.041100
149,0.040800
150,0.041200
151,0.040500
152,0.041100
153,0.041200
154,0.040700
155,0.040700
156,0.041300
157,0.053100
158,0.041300
159,0.040600
160,0.041000
161,0.043300
162,0.040900
163,0.040800
164,0.040600
165,0.040900
166,0.040700
167,0.040900
168,0.040800
169,0.041200
170,0.041000
171,0.040600
172,0.094400
173,0.045400
174,0.041000
175,0.040700
176,0.041300
177,0.040800
178,0.041100
179,0.040900
180,0.041800
181,0.041400
182,0.041000
183,0.041500
184,0.041000
185,0.040900
186,0.041000
187,0.041100
188,0.041300
189,0.043400
190,0.040500
191,0.041200
192,0.041000
193,0.041000
194,0.041000
195,0.040800
196,0.041000
197,0.041100
198,0.040700
199,0.040600
200,0.043800
201,0.068700
202,0.058500
203,0.045100
204,0.040800
205,0.043100
206,0.040700
207,0.040800
208,0.061600
209,0.062700
210,0.064900
211,0.048200
212,0.040700
213,0.040600
214,0.041100
215,0.040900
216,0.041100
217,0.041100
218,0.041300
219,0.041400
220,0.041300
221,0.043300
222,0.040900
223,0.041100
224,0.041100
225,0.041000
226,0.040800
227,0.040900
228,0.040800
229,0.041100
230,0.041000
231,0.040600
232,0.040600
233,0.040700
234,0.040700
235,0.040900
236,0.040700
237,0.042900
238,0.040500
239,0.040800
240,0.040600
241,0.040700
242,0.040600
243,0.041000
244,0.040700
